Position,Track Name,Artist,Streams,URL
164,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,251241,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
165,Simba,Ernia,251224,https://open.spotify.com/track/69d3X2Nv5AWHUeTktfOqpV
166,7/8 Sour,MadMan,250985,https://open.spotify.com/track/3pTlhegZkebcfjrFscPShg
167,Chic,Izi,250395,https://open.spotify.com/track/7jUJ2RmT4PFHHq4goMWqm3
168,NI BIEN NI MAL,Bad Bunny,250016,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8
169,Bad Liar,Imagine Dragons,248813,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
170,Trova un modo,Alessandra Amoroso,247672,https://open.spotify.com/track/2OhD2CM731aBTpRACnAM4q
171,2% (feat. Frah Quintale),Guè Pequeno,246803,https://open.spotify.com/track/5ODlTG5qxhCsC05E36Rv25
172,Eastside (with Halsey & Khalid),benny blanco,246367,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
173,Flames,David Guetta,245523,https://open.spotify.com/track/66BjcDhhwWCcQIBxHMpKXh
174,Allenamento #2,Capo Plaza,242031,https://open.spotify.com/track/2z3sYBYhLhsGTOKZe5vkcM
175,X,Nicky Jam,239721,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
176,Missili,Frah Quintale,239122,https://open.spotify.com/track/5dcyltc1ataieXIeTqhH3t
177,Adictiva,Daddy Yankee,238039,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP
178,We Will Rock You - Remastered,Queen,237673,https://open.spotify.com/track/4pbJqGIASGPr0ZpGpnWkDn
179,Modalità Aereo (feat. Luchè & Marracash),Guè Pequeno,237559,https://open.spotify.com/track/5CBTNoJlHwyqYGdwMBNAAH
180,Lo Sai Che Ci Penso,Gemitaiz,236247,https://open.spotify.com/track/6qE4ocLpaSUkWYrcpbPN7Z
181,Merci,Carl Brave,234795,https://open.spotify.com/track/429kanJEBTPrcTKYBT8yPq
182,Say My Name,David Guetta,234308,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
183,Jackie Chan,Tiësto,234187,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
184,Ti prometto che un giorno partiremo,Fasma,232336,https://open.spotify.com/track/09TaitRRTpff4RptRt1JLH
185,Pesto,Calcutta ,232320,https://open.spotify.com/track/4UHDgfDtSSv9SqyfEFr4sF
186,Moscow Mule,Benji & Fede,231245,https://open.spotify.com/track/1Lfjom9CoL5hIyvjYey9zs
187,Peter Pan - Vuoi volare con me?,Ultimo,230783,https://open.spotify.com/track/3qbMJGhSNdeKdz407PA6x4
188,Per uno come me,Negramaro,227187,https://open.spotify.com/track/0izGL1EhHAt9Rkc6cmwi4G
189,Balla,Zoda,227015,https://open.spotify.com/track/1ex3YwDpPLF2JeA8ZgPBto
190,Chapeau (feat. Frah Quintale),Carl Brave,226580,https://open.spotify.com/track/4qB5WfP7AzwPzU4OddDm4b
191,Sincera,Fred De Palma,226222,https://open.spotify.com/track/0B9tlo3EDwWazIPlyWpKAH
192,Pem Pem,Elettra Lamborghini,225968,https://open.spotify.com/track/1xYiaH50bbhvYXLQMmbjpY
