Position,Track Name,Artist,Streams,URL
160,Bella y Sensual,Romeo Santos,64672,https://open.spotify.com/track/0ERbK7qVqveCaBWIiYCrl3
161,The Scientist,Coldplay,64578,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle
162,Electricity (with Dua Lipa),Silk City,64106,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
163,Mi Cama,KAROL G,64031,https://open.spotify.com/track/7sFYVcKSb24qg0dAkqLEFj
164,Historia entre tus dedos,Los 4,63539,https://open.spotify.com/track/1azNmWAecfKNw0efhKkzNM
165,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,63471,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV
166,Síguelo Bailando,Ozuna,63238,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
167,Que Va,Alex Sensation,62820,https://open.spotify.com/track/6J1R5wtPXiHiwiPstOSI56
168,Sirena,Cali Y El Dandee,62427,https://open.spotify.com/track/1juHIWqgFiDFAKuEBP24Lt
169,Clavado En Un Bar,Maná,61975,https://open.spotify.com/track/78DVpEWwmJFC25KGz8fJuE
170,Bella,Wolfine,61730,https://open.spotify.com/track/3xcCix7Jv1Rp90YVmgo35D
171,Ambiente,J Balvin,61485,https://open.spotify.com/track/6VrBWh90BiwWmwKtvwWFcq
172,Yo No Sé Mañana (salsa),Luis Enrique,61161,https://open.spotify.com/track/1nZziTuPRwCfJe1XvVC760
173,I Want To Break Free - Single Remix,Queen,60767,https://open.spotify.com/track/2AkmdLbVKS1steeZdy8H1l
174,Es Por Tí,Juanes,60701,https://open.spotify.com/track/3b1IQflSLrgzYQPGFzI9cl
175,Persiana Americana,Soda Stereo,60389,https://open.spotify.com/track/7JZP7kQsuFFWOrtAI7uNiW
176,"Mujeres (Mozart La Para, Justin Quiles, Farruko, Jowell & Randy) - Remix",Mozart La Para,60353,https://open.spotify.com/track/1AKP5JySgNsr2Y04z1yGHJ
177,Sobredosis (feat. Ozuna),Romeo Santos,59989,https://open.spotify.com/track/1WbXIpiGBJkCiv3hn40iPB
178,Díganle - Tainy Remix,Leslie Grace,59836,https://open.spotify.com/track/1l89iNLbzfFN9TsWJORolB
179,Ella Y Yo - Featuring Don Omar,Aventura,59778,https://open.spotify.com/track/6G4U9avyBNEfP0fAIduev3
180,Mi Mala - Remix,Mau y Ricky,59217,https://open.spotify.com/track/6kOHug1s9Nd5gsHrX8irs2
181,Rosas O Espinas,Joey Montana,59052,https://open.spotify.com/track/1TtLoJNPEjmXOoGFDhJXMP
182,Volver a Verte (feat. Cali y El Dandee),Fonseca,59026,https://open.spotify.com/track/5AEe2QNDyG1u0bujk7LrgQ
183,Colgando en tus manos (con Marta Sánchez),Carlos Baute,59012,https://open.spotify.com/track/3UI9I3e1g1y5T3SMfdgfGO
184,Ahora Dice,Chris Jeday,58727,https://open.spotify.com/track/5LVoGJTyG6fLJgoGkY2QAZ
185,That's What I Like,Bruno Mars,58414,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
186,"Un Vino, Una Cerveza",Pedro Suárez-Vértiz,58403,https://open.spotify.com/track/5Q2J37xbIR60z6ifswoGKe
187,Caliente (feat. J Balvin),De La Ghetto,58350,https://open.spotify.com/track/7zjxmI7AldHmhWfFozqv3t
188,Un Poquito,Diego Torres,58247,https://open.spotify.com/track/5pH8g37XIkQej0AnlfQgNS
189,Me llamas (feat. Maluma) - Remix,Piso 21,58101,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX
190,Love Of My Life - Remastered 2011,Queen,57826,https://open.spotify.com/track/4YJUTdZ0Pgl0ZeNyHYXeLd
191,La flaca,Jarabe De Palo,57706,https://open.spotify.com/track/2LsbizbOeNa4x6qsi2jAMb
192,No Te Vas,Nacho,57676,https://open.spotify.com/track/21Dt0T82tst15r3HCIM2Ku
193,Darte Remix,Alex Rose,57672,https://open.spotify.com/track/6xqbec9MHRmW7qtEINAlRx
194,Usted No Sabe,Bamboleo,57294,https://open.spotify.com/track/35CmU6oPcyuzqxUk1nD5FJ
195,Flaca,Andrés Calamaro,57293,https://open.spotify.com/track/1p7m9H4H8s0Y7SgRm7j3ED
196,Dura,Daddy Yankee,57151,https://open.spotify.com/track/6KuqAtoeVzxAYOaMveLNpH
197,Amorfoda,Bad Bunny,57065,https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF
198,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Ozuna,56794,https://open.spotify.com/track/2FrnTVSHjgnEylKGdHRUK1
199,Thinking out Loud,Ed Sheeran,56773,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
200,Andas En Mi Cabeza,Chino & Nacho,56740,https://open.spotify.com/track/23WI5V2eD4EyGKxSl7Pyeq
1,Adan y Eva,Paulo Londra,894649,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
2,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,763912,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
3,MIA (feat. Drake),Bad Bunny,737616,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
4,Cuando Te Besé,Becky G,647633,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
5,Ella Quiere Beber - Remix,Anuel AA,609185,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq
6,Culpables,KAROL G,603260,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH
7,Amigos Con Derechos,Reik,586661,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA
8,BEBE,6ix9ine,571695,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
9,Bubalu,Becky G,565905,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb
10,Desconocidos,Mau y Ricky,543378,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ
11,Vaina Loca,Ozuna,537685,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
12,Créeme,KAROL G,453180,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz
13,Mala Mía,Maluma,438216,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
